Date,Open,High,Low,Close,Adj Close,Volume
2024-06-18,1000.000000,1003.549988,984.000000,985.900024,985.900024,9845075
2024-06-19,990.000000,994.900024,975.150024,977.349976,977.349976,7605719
2024-06-20,980.000000,988.400024,976.349976,978.250000,978.250000,7299571
2024-06-21,979.000000,980.900024,958.099976,961.799988,961.799988,14303735
2024-06-24,960.900024,963.500000,950.049988,958.049988,958.049988,6655577
2024-06-25,960.000000,962.849976,949.299988,955.000000,955.000000,7304128
2024-06-26,956.000000,962.500000,950.099976,951.849976,951.849976,6908988
2024-06-27,952.500000,974.849976,948.049988,972.099976,972.099976,19385412
2024-06-28,975.000000,998.500000,972.549988,989.750000,989.750000,23025267
2024-07-01,989.750000,1005.500000,985.200012,1002.049988,1002.049988,14006105
2024-07-02,1004.049988,1005.000000,979.099976,981.299988,981.299988,12284132
2024-07-03,984.950012,987.349976,973.500000,975.650024,975.650024,7346258
2024-07-04,984.000000,1004.000000,979.599976,998.200012,998.200012,12139832
2024-07-05,1005.000000,1006.599976,989.950012,993.650024,993.650024,9050375
2024-07-08,1005.000000,1016.599976,996.200012,1002.599976,1002.599976,13312085
2024-07-09,1000.950012,1017.000000,998.099976,1014.950012,1014.950012,10948094
2024-07-10,1015.000000,1019.849976,986.049988,1005.500000,1005.500000,13412206
2024-07-11,1008.000000,1025.500000,1007.049988,1020.799988,1020.799988,11983571
2024-07-12,1023.849976,1025.900024,1015.000000,1016.750000,1016.750000,7339644
2024-07-15,1021.349976,1029.800049,1017.299988,1024.449951,1024.449951,5847297
2024-07-16,1025.500000,1029.599976,1019.200012,1021.150024,1021.150024,4824555
2024-07-18,1022.950012,1027.000000,1008.000000,1024.550049,1024.550049,8010324
2024-07-19,1024.000000,1024.000000,986.650024,990.000000,990.000000,7400178
2024-07-22,990.000000,1008.000000,976.549988,1003.150024,1003.150024,7396198
2024-07-23,1007.900024,1008.650024,967.200012,1001.799988,1001.799988,10384177
2024-07-24,997.799988,1034.250000,995.150024,1027.699951,1027.699951,11469098
2024-07-25,1029.000000,1094.000000,1024.349976,1090.949951,1090.949951,32766835
2024-07-26,1111.949951,1120.500000,1083.599976,1118.300049,1118.300049,21232845
2024-07-29,1124.000000,1139.900024,1118.599976,1124.000000,1124.000000,11850624
2024-07-30,1125.800049,1179.000000,1118.599976,1161.849976,1161.849976,28592304
2024-07-31,1164.000000,1167.900024,1145.300049,1156.650024,1156.650024,10860623
2024-08-01,1167.000000,1176.000000,1136.500000,1144.400024,1144.400024,14375948
2024-08-02,1120.000000,1120.000000,1090.050049,1096.650024,1096.650024,21967812
2024-08-05,1059.949951,1065.000000,1014.049988,1016.450012,1016.450012,26651144
2024-08-06,1030.000000,1060.650024,1008.400024,1013.750000,1013.750000,16726393
2024-08-07,1036.050049,1040.199951,1015.049988,1025.300049,1025.300049,9978703
2024-08-08,1034.949951,1056.400024,1027.000000,1041.750000,1041.750000,19529790
2024-08-09,1055.000000,1082.949951,1052.050049,1068.099976,1068.099976,15443008
2024-08-12,1065.000000,1079.900024,1055.000000,1076.150024,1076.150024,11311050
2024-08-13,1074.849976,1075.500000,1048.199951,1053.449951,1053.449951,7508231
2024-08-14,1057.000000,1067.050049,1047.000000,1062.349976,1062.349976,8211830
2024-08-16,1072.000000,1099.949951,1070.000000,1098.349976,1098.349976,11435650
